"DATE","DESCRIPTION","AMOUNT","CHECK #","STATUS"
"06/23/2026","RTC, Las Vegas 180-022-8391 NV","-20.00",,"Posted"
"06/23/2026","ILLY CAFFE LAS VEGAS NV","-8.02",,"Posted"
"06/23/2026","UBER *TRIP HELP.UBER.COMCA","-17.95",,"Posted"
"06/17/2026","Spotify P439B23D7E New York NY","-18.01",,"Posted"
"06/14/2026","PMUSA 758028 ROCKVILLE 770-8189036 GA","-4.45",,"Posted"
"06/10/2026","COMCAST / XFINITY 800-266-2278 MD","-55.00",,"Posted"
"06/03/2026","CASH BACK REDEMPTION REF 201378873","13.34",,"Posted"
"06/03/2026","CASH BACK REDEMPTION REF 201378806","10.86",,"Posted"
"06/02/2026","ONLINE ACH PAYMENT THANK YOU","65.86",,"Posted"
"05/31/2026","COMCAST / XFINITY 800-266-2278 MD","-55.00",,"Posted"
"05/26/2026","THANH SON TOFU FALLS CHURCH VA","-47.85",,"Posted"
