Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/23/2025,12/25/2025,UNITED      0162358857797,Travel,Sale,-249.48,
12/23/2025,12/25/2025,TRAVEL GUARD GROUP INC,Bills & Utilities,Sale,-16.81,
12/24/2025,12/24/2025,SP PRETTY LITTER,Shopping,Sale,-57.24,
12/24/2025,12/24/2025,HEYTEA-US-Rockvill WP,Food & Drink,Sale,-7.41,
12/23/2025,12/24/2025,KANPAI BBQ,Food & Drink,Sale,-71.55,
12/22/2025,12/23/2025,PHO AN LOI,Food & Drink,Sale,-44.99,
12/23/2025,12/23/2025,MALA CANTEEN,Food & Drink,Sale,-66.46,
12/23/2025,12/23/2025,HEYTEA-US-Rockvill WP,Food & Drink,Sale,-16.94,
12/21/2025,12/22/2025,DD *DOORDASH WAWA,Food & Drink,Sale,-5.03,
12/21/2025,12/22/2025,KATANA SUSHI BAR,Food & Drink,Sale,-56.85,
12/19/2025,12/21/2025,JBC RICE NOODLES &amp; RAMEN,Food & Drink,Sale,-52.19,
12/21/2025,12/21/2025,HEYTEA-US-Rockvill WP,Food & Drink,Sale,-16.94,
12/17/2025,12/17/2025,Spotify USA,Bills & Utilities,Sale,-18.01,
12/16/2025,12/17/2025,KANPAI BBQ,Food & Drink,Sale,-71.55,
12/16/2025,12/17/2025,HEYTEA-US-Rockvill WP,Food & Drink,Sale,-15.88,
12/13/2025,12/15/2025,BOB'S SHANGHAI 66,Food & Drink,Sale,-96.59,
12/12/2025,12/14/2025,LUCKY CORNER VIETNAMESE,Food & Drink,Sale,-48.29,
12/13/2025,12/14/2025,HEYTEA-US-Rockvill WP,Food & Drink,Sale,-16.94,
12/08/2025,12/10/2025,SOUTHWES    5262111522917,Travel,Sale,-5.60,
12/06/2025,12/07/2025,HEYTEA-US-Rockvill WP,Food & Drink,Sale,-16.94,
11/30/2025,12/03/2025,PY *MEZEH CLEMSON CORNER,Food & Drink,Sale,-26.50,
11/30/2025,12/01/2025,DD *DOORDASH SHEETZ,Food & Drink,Sale,-1.91,
11/29/2025,12/01/2025,HELLO VIETNAM REST,Food & Drink,Sale,-55.02,
11/29/2025,11/30/2025,Payment Thank You - Web,,Payment,285.34,
11/29/2025,11/30/2025,HEYTEA-US-Rockvill WP,Food & Drink,Sale,-16.94,
